"","AGEP","RACAIAN","RACASN","RACBLK","RACSOR","RACWHT","ESR_label","SCHL_label","WAGP","YOEP","CITWP","years_to_nat"
"901",59,"0","0","0","0","1","Not in labor force","Associate's degree",0,1961,1963,2
"902",58,"0","1","0","0","0","Not in labor force","Grade 11",0,1992,1995,3
"903",30,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",48000,1994,2002,8
"904",64,"0","1","0","0","0","Not in labor force","Master's degree",0,1969,1975,6
"905",47,"0","1","0","0","0","Civilian employed, with a job but not at work","Some college, but less than 1 year",55000,1985,1998,13
"906",56,"0","1","0","0","0","Not in labor force","Bachelor's degree",0,1978,1984,6
"907",44,"0","1","0","0","0","Civilian employed, at work","Associate's degree",23900,1990,1994,4
"908",41,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",80000,1980,1998,18
"909",51,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",69000,1992,2002,10
"910",48,"0","0","0","1","0","Not in labor force","Regular high school diploma",0,1991,2012,21
"911",61,"0","1","0","0","0","Civilian employed, at work","1 or more years of college credit, no degree",22900,1977,1985,8
"912",70,"0","1","0","0","0","Not in labor force","Associate's degree",0,1987,1994,7
"913",58,"0","0","0","1","0","Civilian employed, at work","Grade 9",45000,1977,1985,8
"914",78,"0","0","0","0","1","Not in labor force","Regular high school diploma",0,1985,2004,19
"915",76,"0","1","0","0","0","Not in labor force","Grade 7",0,1995,1999,4
"916",67,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",6600,1973,1991,18
"917",50,"0","0","0","0","1","Not in labor force","Grade 10",14000,1989,2012,23
"918",54,"0","0","0","0","1","Civilian employed, at work","Bachelor's degree",80000,1988,2001,13
"919",24,"0","0","0","1","0","Not in labor force","1 or more years of college credit, no degree",0,2004,2016,12
"920",42,"0","0","0","1","0","Civilian employed, at work","1 or more years of college credit, no degree",52000,1987,2008,21
"921",68,"0","0","0","1","0","Not in labor force","Associate's degree",0,1990,2006,16
"922",39,"0","0","0","0","1","Civilian employed, at work","Master's degree",65000,1994,1998,4
"923",47,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",109000,2001,2008,7
"924",31,"0","1","0","0","0","Civilian employed, at work","Regular high school diploma",20000,2010,2015,5
"925",49,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",25000,1999,2005,6
"926",72,"0","0","0","0","1","Not in labor force","Some college, but less than 1 year",0,1960,1998,38
"927",49,"0","1","0","0","0","Civilian employed, at work","Bachelor's degree",1e+05,1992,2000,8
"928",68,"0","1","0","0","0","Not in labor force","Associate's degree",0,1985,1998,13
"929",43,"0","1","0","0","0","Civilian employed, at work","Master's degree",250000,1995,2008,13
"930",62,"0","0","0","0","1","Civilian employed, at work","Master's degree",95000,1985,1990,5
"931",34,"0","0","0","0","1","Civilian employed, at work","Regular high school diploma",70000,1998,2013,15
"932",44,"0","0","0","1","0","Civilian employed, at work","GED or alternative credential",46200,1975,2012,37
